host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,high_demand,amenities_count,host_days_active,days_since_last_review,days_since_first_review,Wifi,Kitchen,Refrigerator,Air conditioning,Heating,Washer,Dryer,TV,Private entrance,Smoke alarm,Fire extinguisher,Iron,Shampoo,Dishwasher,Pool,Elevator,Breakfast,Pets allowed,Paid parking on premises,Free parking on premises,Bikes,property_category
within an hour,95-100%,50-69%,f,1,1,t,Buitenveldert - Zuidas,Entire home/apt,4,1.5,2.0,2.0,3,1125,3.0,4,4,4,4,5,3,0,5.0,5.0,5.0,5.0,5.0,4.6,5.0,f,1,1,0,0,0.3,0,38,5211,6 months-1 year,1-2 years,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,90-100%,t,1,2,t,Centrum-West,Entire home/apt,3,1.0,2.0,2.0,3,1125,3.0,13,22,36,220,570,55,3,4.93,4.93,4.93,4.96,4.97,4.98,4.78,f,1,1,0,0,3.32,1,51,5206,0-1 month,>10 years,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,standard_apartments
within an hour,95-100%,70-89%,f,1,1,t,Centrum-Oost,Entire home/apt,4,1.5,2.0,3.0,3,7,3.0,5,35,65,340,166,7,0,4.87,4.93,4.8,4.84,4.77,4.67,4.76,f,1,1,0,0,0.96,1,50,5202,1-6 months,>10 years,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,luxury_apartments
within a few hours,80-94%,0-49%,f,1,1,t,Bos en Lommer,Entire home/apt,5,1.5,3.0,3.0,4,18,4.0,5,5,9,11,17,5,0,4.76,4.82,4.82,4.82,4.88,4.53,4.76,f,1,1,0,0,0.13,0,15,5200,1-6 months,>10 years,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,1,t,Centrum-West,Private room,2,1.0,1.0,1.0,2,365,2.0,14,44,68,284,498,61,3,4.88,4.9,4.83,4.86,4.82,4.94,4.83,f,1,0,1,0,2.94,1,20,5200,0-1 month,>10 years,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,70-89%,f,1,1,t,IJburg - Zeeburgereiland,Entire home/apt,3,1.0,1.0,1.0,1,21,1.0,0,0,0,0,12,4,0,5.0,5.0,4.92,5.0,5.0,5.0,5.0,f,1,1,0,0,0.16,0,57,5179,6 months-1 year,4-10 years,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,luxury_apartments
within an hour,95-100%,0-49%,f,2,4,t,Centrum-Oost,Entire home/apt,2,1.5,1.0,1.0,26,30,26.0,0,12,42,55,68,2,0,4.95,4.9,4.93,4.94,4.98,4.93,4.81,f,1,1,0,0,0.4,0,52,5166,6 months-1 year,>10 years,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,luxury_apartments
within a day,50-79%,0-49%,f,1,1,t,Zuid,Entire home/apt,4,1.0,2.0,1.0,3,21,3.0,0,0,0,0,96,0,0,4.86,4.91,4.86,4.95,4.98,4.95,4.79,f,1,1,0,0,0.57,0,23,5165,1-2 years,>10 years,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,0-49%,f,1,1,t,Oud-Oost,Entire home/apt,2,1.5,1.0,1.0,2,6,2.0,0,2,32,32,38,3,0,4.89,4.92,4.89,5.0,4.89,4.65,4.57,f,1,1,0,0,0.22,0,25,5124,6 months-1 year,>10 years,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,4,4,t,Centrum-West,Private room,1,1.0,1.0,1.0,3,1125,3.0,0,0,0,0,241,0,0,4.77,4.74,4.82,4.85,4.79,4.95,4.57,f,4,0,4,0,1.44,1,28,5020,1-2 years,>10 years,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,apartment
