host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,high_demand,amenities_count,host_days_active,days_since_last_review,days_since_first_review,Wifi,Kitchen,Refrigerator,Air conditioning,Heating,Washer,Dryer,TV,Private entrance,Smoke alarm,Fire extinguisher,Iron,Shampoo,Dishwasher,Pool,Elevator,Breakfast,Pets allowed,Paid parking on premises,Free parking on premises,Bikes,property_category
within an hour,95-100%,90-100%,f,1,1,t,IJburg - Zeeburgereiland,Entire home/apt,4,1.0,2.0,1.0,6,730,5.0,0,0,0,0,25,3,0,4.84,4.84,4.64,4.96,4.92,4.68,4.64,f,1,1,0,0,0.32,0,29,2421,1-6 months,4-10 years,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,1,t,Bos en Lommer,Entire home/apt,2,1.0,1.0,1.0,2,30,2.0,0,0,0,0,55,7,0,4.73,4.84,4.6,4.91,4.91,4.64,4.69,f,1,1,0,0,0.68,0,26,3378,6 months-1 year,4-10 years,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,1,30,1.0,0,0,0,0,15,0,0,4.93,4.93,4.93,5.0,5.0,4.67,4.6,f,1,1,0,0,0.19,0,27,3032,2-4 years,4-10 years,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,2,3,t,IJburg - Zeeburgereiland,Entire home/apt,4,1.0,2.0,1.0,3,21,2.1,0,0,0,0,8,0,0,4.88,5.0,4.63,4.88,4.25,4.63,4.5,f,1,1,0,0,0.1,0,25,4220,>4 years,4-10 years,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,3,365,3.0,0,0,0,0,7,0,0,4.86,5.0,4.86,5.0,5.0,4.71,4.71,f,1,1,0,0,0.09,0,26,3891,2-4 years,4-10 years,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Zuid,Entire home/apt,2,1.0,1.0,1.0,3,8,3.0,0,0,0,0,15,0,0,4.87,4.93,4.8,4.93,5.0,4.93,4.67,f,1,1,0,0,0.19,0,24,4446,1-2 years,4-10 years,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,2,2,t,Centrum-Oost,Private room,2,1.0,1.0,1.0,3,1125,3.0,0,0,0,0,95,17,0,4.95,4.94,4.94,4.97,4.96,4.86,4.69,f,2,0,2,0,1.19,0,52,3789,1-6 months,4-10 years,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,standard_apartments
within an hour,95-100%,50-69%,f,1,2,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,3,10,3.0,29,59,89,269,16,6,0,5.0,5.0,4.75,4.56,4.81,4.88,4.5,f,1,1,0,0,0.2,0,10,3774,1-6 months,4-10 years,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,9,9,t,Centrum-Oost,Entire home/apt,4,1.0,2.0,2.0,7,1125,7.0,6,36,66,235,7,5,1,5.0,5.0,5.0,4.86,4.86,5.0,4.71,t,9,9,0,0,0.22,0,36,4079,0-1 month,2-4 years,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,70-89%,t,2,4,t,De Pijp - Rivierenbuurt,Private room,4,1.0,2.0,3.0,3,185,3.0,0,4,28,73,110,10,0,4.82,4.77,4.72,4.88,4.91,4.93,4.62,f,1,0,1,0,1.44,1,46,4091,1-6 months,4-10 years,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,apartment
within an hour,95-100%,90-100%,f,2,2,t,De Pijp - Rivierenbuurt,Private room,2,2.0,1.0,1.0,3,1125,3.0,9,9,9,9,436,55,3,4.8,4.85,4.24,4.94,4.95,4.91,4.73,f,2,0,2,0,5.42,1,26,2419,0-1 month,4-10 years,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,apartment
within an hour,95-100%,70-89%,f,1,1,t,Centrum-West,Entire home/apt,2,1.0,1.0,1.0,2,1124,2.0,0,0,0,0,27,0,0,4.41,4.63,4.15,4.74,4.78,4.74,4.0,t,1,1,0,0,0.34,0,25,3461,2-4 years,4-10 years,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,0-49%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,5,1.5,3.0,3.0,3,365,3.0,1,1,1,36,6,1,0,5.0,5.0,5.0,4.83,5.0,4.83,4.67,f,1,1,0,0,0.08,0,36,3328,6 months-1 year,4-10 years,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Bijlmer-Centrum,Entire home/apt,3,1.0,2.0,1.0,1,30,1.0,0,0,0,0,24,0,0,4.75,4.79,4.63,4.79,4.83,4.46,4.63,f,1,1,0,0,0.3,0,56,2679,2-4 years,4-10 years,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,Noord-West,Entire home/apt,4,1.0,4.0,1.0,7,30,7.0,0,0,0,0,27,1,0,4.96,4.96,5.0,4.96,5.0,4.48,4.78,f,1,1,0,0,0.34,0,52,4392,1-6 months,4-10 years,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,1,t,Noord-Oost,Private room,2,1.0,1.0,4.0,2,7,2.0,14,14,14,14,133,14,0,4.69,4.85,4.62,4.93,4.92,4.38,4.39,t,1,0,1,0,1.66,1,10,2416,1-6 months,4-10 years,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,apartment
within a day,95-100%,50-69%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,4,1.5,2.0,3.0,3,730,3.0,3,3,3,70,17,6,0,4.88,4.82,4.88,4.88,5.0,4.82,4.53,f,1,1,0,0,0.22,0,32,4322,1-6 months,4-10 years,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,5,1125,5.0,0,0,0,0,9,0,0,4.78,4.78,4.89,4.78,4.89,4.33,4.44,t,1,1,0,0,0.11,0,15,3849,>4 years,4-10 years,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,luxury_apartments
within an hour,95-100%,50-69%,f,1,1,t,Watergraafsmeer,Entire home/apt,4,1.0,3.0,2.0,7,30,7.0,0,0,0,13,16,4,0,4.69,4.69,4.31,4.75,4.81,4.69,4.31,f,1,1,0,0,0.2,0,54,3310,1-6 months,4-10 years,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,3,t,Oostelijk Havengebied - Indische Buurt,Entire home/apt,4,1.0,2.0,1.0,3,1125,3.0,0,0,0,0,19,0,0,4.95,4.95,4.95,4.79,5.0,4.84,4.89,f,1,1,0,0,0.24,0,53,3951,2-4 years,4-10 years,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,2,f,Oostelijk Havengebied - Indische Buurt,Entire home/apt,4,1.0,1.0,1.0,3,60,3.0,0,0,0,0,28,0,0,4.75,4.89,4.82,4.96,5.0,4.75,4.61,f,1,1,0,0,0.36,0,19,4451,2-4 years,4-10 years,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,2,2,t,De Pijp - Rivierenbuurt,Private room,2,2.0,1.0,1.0,1,1125,1.0,7,7,7,7,397,60,5,4.81,4.86,4.28,4.95,4.94,4.92,4.72,f,2,0,2,0,4.95,1,24,2419,0-1 month,4-10 years,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,apartment
within a few hours,95-100%,90-100%,f,2,2,t,Centrum-West,Private room,1,1.0,1.0,1.0,2,90,2.0,15,45,75,75,205,48,4,4.89,4.95,4.8,4.98,4.97,4.97,4.81,f,2,0,2,0,2.59,1,40,3934,0-1 month,4-10 years,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,70-89%,f,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,3,1.0,2.0,2.0,2,21,2.0,11,11,19,32,59,3,0,4.86,4.83,4.75,4.97,4.93,4.75,4.75,f,1,1,0,0,0.78,0,66,4037,1-6 months,4-10 years,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,luxury_apartments
within a day,95-100%,0-49%,f,1,6,t,De Pijp - Rivierenbuurt,Entire home/apt,4,3.5,2.0,2.0,4,700,8.3,0,17,17,159,36,7,0,4.83,4.81,4.58,4.89,4.89,4.92,4.5,f,1,1,0,0,0.46,0,30,5007,1-6 months,4-10 years,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,2,t,De Pijp - Rivierenbuurt,Entire home/apt,2,1.0,1.0,1.0,2,1125,2.0,0,0,0,0,12,0,0,4.92,5.0,4.92,4.83,4.92,4.67,4.42,f,1,1,0,0,0.15,0,24,2412,1-2 years,4-10 years,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,1,t,De Pijp - Rivierenbuurt,Private room,2,1.0,1.0,1.0,5,1125,5.0,11,36,41,121,141,26,1,4.88,4.94,4.9,4.9,4.96,4.89,4.77,f,1,0,1,0,1.86,1,33,4847,0-1 month,4-10 years,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,70-89%,t,1,1,t,Noord-West,Entire home/apt,2,1.0,1.0,1.0,2,14,2.0,0,0,0,0,49,7,0,4.92,4.92,4.9,5.0,5.0,4.76,4.86,f,1,1,0,0,0.61,0,30,3011,1-6 months,4-10 years,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,apartment
within an hour,95-100%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,4,365,4.0,0,0,0,0,7,0,0,4.57,5.0,4.71,3.57,3.71,4.57,4.57,f,1,1,0,0,0.09,0,24,3463,>4 years,4-10 years,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,2.0,1.0,1,28,1.0,0,0,0,0,41,0,0,4.9,4.83,4.93,4.83,4.93,4.9,4.51,f,1,1,0,0,0.52,0,61,2410,1-2 years,4-10 years,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,50-69%,t,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,2,1.0,1.0,1.0,1,700,1.0,0,0,0,0,37,3,0,4.97,4.95,4.89,4.97,5.0,5.0,4.81,f,1,1,0,0,0.47,0,28,3579,1-6 months,4-10 years,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Oud-Noord,Entire home/apt,2,1.0,1.0,1.0,4,1125,4.0,0,0,0,0,31,0,0,4.81,4.97,4.68,4.94,5.0,4.84,4.68,f,1,1,0,0,0.39,0,49,3357,1-2 years,4-10 years,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,13,t,Noord-West,Entire home/apt,2,1.0,1.0,1.0,2,30,2.0,0,0,0,0,12,0,0,5.0,5.0,4.92,5.0,4.91,4.91,4.64,f,1,1,0,0,0.15,0,25,4425,>4 years,4-10 years,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Oud-Oost,Private room,2,1.0,1.0,1.0,2,30,2.0,0,0,0,0,52,0,0,4.92,4.9,4.94,4.96,4.92,4.73,4.69,t,1,0,1,0,0.66,0,17,3937,>4 years,4-10 years,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,apartment
within an hour,95-100%,70-89%,f,1,1,t,Zuid,Entire home/apt,2,1.5,1.0,1.0,5,30,5.0,22,52,82,262,3,2,0,5.0,5.0,4.67,5.0,5.0,5.0,5.0,t,1,1,0,0,0.17,0,15,4390,1-6 months,1-2 years,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,1,t,Centrum-Oost,Entire home/apt,3,1.0,1.0,3.0,2,15,2.0,6,27,44,151,206,91,6,4.99,4.95,4.97,4.98,4.99,4.97,4.84,f,1,1,0,0,2.67,1,35,3829,0-1 month,4-10 years,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,2,t,Noord-West,Entire home/apt,4,1.5,3.0,5.0,3,14,4.0,0,0,7,17,8,3,0,4.88,4.88,4.88,4.88,4.88,4.5,4.5,f,1,1,0,0,0.28,0,29,4131,1-6 months,2-4 years,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,luxury_apartments
within an hour,95-100%,90-100%,t,2,2,t,Bos en Lommer,Entire home/apt,4,1.0,2.0,1.0,2,14,2.0,0,0,0,0,19,0,0,4.58,5.0,4.89,4.74,4.84,4.42,4.42,t,1,1,0,0,0.24,0,1,2452,>4 years,4-10 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,2,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,2.0,1.0,3,20,3.1,1,1,1,1,35,4,0,4.89,4.97,4.63,4.91,4.97,4.97,4.74,f,1,1,0,0,0.44,0,59,4827,1-6 months,4-10 years,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,Geuzenveld - Slotermeer,Entire home/apt,4,1.0,2.0,1.0,8,30,8.0,0,0,0,0,9,0,0,4.89,4.89,4.67,4.78,4.89,4.67,4.67,f,1,1,0,0,0.11,0,60,4050,1-2 years,4-10 years,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,luxury_apartments
within an hour,95-100%,0-49%,f,1,2,t,Oud-Noord,Entire home/apt,3,1.5,2.0,2.0,10,20,10.0,0,0,0,159,5,1,0,5.0,5.0,5.0,5.0,5.0,4.4,4.8,f,1,1,0,0,0.07,0,43,4319,6 months-1 year,4-10 years,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,2,t,Westerpark,Entire home/apt,2,1.0,1.0,1.0,2,1125,2.0,0,0,0,0,4,0,0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,f,1,1,0,0,0.05,0,28,4029,>4 years,4-10 years,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,IJburg - Zeeburgereiland,Entire home/apt,2,1.5,1.0,1.0,3,21,3.0,18,18,18,18,14,2,0,5.0,5.0,5.0,5.0,5.0,4.93,4.93,f,1,1,0,0,0.18,0,42,2401,1-6 months,4-10 years,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Private room,2,1.0,1.0,1.0,4,100,4.0,0,0,0,0,129,0,0,4.91,4.93,4.78,4.94,4.88,4.86,4.64,f,1,0,1,0,1.62,1,31,2400,1-2 years,4-10 years,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,standard_apartments
within an hour,95-100%,70-89%,f,1,1,t,Bijlmer-Centrum,Entire home/apt,4,1.0,3.0,1.0,5,28,5.0,0,0,0,0,21,0,0,4.71,4.76,4.52,4.86,4.81,4.71,4.43,f,1,1,0,0,0.27,0,37,2474,1-2 years,4-10 years,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,luxury_apartments
within an hour,95-100%,90-100%,f,2,2,t,Watergraafsmeer,Entire home/apt,6,3.0,5.0,4.0,2,30,2.1,6,6,6,6,29,4,0,4.79,4.72,4.76,4.9,4.86,4.76,4.62,f,1,1,0,0,0.37,0,22,3831,1-6 months,4-10 years,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Westerpark,Entire home/apt,2,1.0,1.0,1.0,5,1125,5.0,0,0,0,0,9,0,0,5.0,4.89,5.0,4.89,5.0,4.89,4.67,f,1,1,0,0,0.32,0,42,3092,1-2 years,2-4 years,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,1,t,IJburg - Zeeburgereiland,Private room,2,1.5,1.0,1.0,1,1125,1.0,12,39,69,116,540,94,4,4.82,4.86,4.82,4.92,4.93,4.77,4.69,t,1,0,1,0,6.79,1,20,3898,0-1 month,4-10 years,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,standard_apartments
within an hour,95-100%,70-89%,f,1,5,t,Zuid,Entire home/apt,5,1.0,2.0,1.0,4,7,4.0,0,0,0,0,9,0,0,4.89,4.89,4.89,5.0,5.0,5.0,4.67,f,1,1,0,0,0.12,0,36,3662,>4 years,4-10 years,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,70-89%,t,1,1,t,Oostelijk Havengebied - Indische Buurt,Private room,4,1.5,2.0,3.0,2,1125,2.0,13,43,73,328,103,25,0,4.9,4.88,4.96,4.98,4.98,4.74,4.68,f,1,0,1,0,1.32,1,38,4010,1-6 months,4-10 years,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,standard_apartments
within an hour,95-100%,0-49%,f,1,1,t,Gaasperdam - Driemond,Entire home/apt,4,1.5,4.0,4.0,7,20,7.0,17,18,18,72,5,0,0,5.0,5.0,4.8,5.0,5.0,4.2,4.4,f,1,1,0,0,0.06,0,70,2438,2-4 years,4-10 years,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,luxury_apartments
within an hour,95-100%,70-89%,f,1,4,t,Oostelijk Havengebied - Indische Buurt,Entire home/apt,2,1.0,1.0,1.0,5,14,5.0,0,0,0,0,14,0,0,5.0,4.86,4.79,4.71,5.0,4.64,4.71,f,1,1,0,0,0.18,0,25,4340,2-4 years,4-10 years,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,4,1.0,2.0,1.0,2,31,2.0,0,0,0,0,0,0,0,4.92,4.92,4.87,4.97,5.0,4.88,4.7,f,1,1,0,0,0.45,0,55,3525,no reviews,no reviews,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Westerpark,Entire home/apt,2,1.0,1.0,1.0,3,4,3.0,0,0,0,0,19,0,0,4.95,5.0,4.84,5.0,5.0,4.89,4.79,f,1,1,0,0,0.24,0,27,3973,1-2 years,4-10 years,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,2,t,Centrum-Oost,Entire home/apt,1,1.0,3.0,3.0,5,30,5.0,5,35,65,340,0,0,0,4.92,4.92,4.87,4.97,5.0,4.88,4.7,f,1,1,0,0,0.45,0,21,5010,no reviews,no reviews,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,2,2,t,Centrum-Oost,Private room,2,1.0,1.0,1.0,1,30,1.5,8,25,46,92,107,8,1,4.72,4.79,4.64,4.93,4.92,4.94,4.64,t,2,0,2,0,1.41,1,15,2395,0-1 month,4-10 years,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,apartment
within an hour,95-100%,90-100%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,2.0,1.0,4,17,3.6,0,0,0,0,11,5,0,5.0,4.91,4.91,5.0,4.91,4.73,4.91,f,1,1,0,0,0.37,0,52,2902,1-6 months,2-4 years,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within a day,95-100%,50-69%,f,1,1,t,Oud-Oost,Entire home/apt,2,1.0,1.0,1.0,7,14,7.0,3,4,4,4,23,3,0,4.74,4.83,4.7,4.87,4.87,4.78,4.65,f,1,1,0,0,0.3,0,21,3554,6 months-1 year,4-10 years,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,2,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,5,40,5.0,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.04,0,25,4182,>4 years,4-10 years,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,2,2,t,De Pijp - Rivierenbuurt,Entire home/apt,4,1.0,3.0,1.0,5,30,5.0,0,0,0,0,17,5,0,4.94,5.0,4.82,5.0,5.0,5.0,4.76,f,1,1,0,0,0.21,0,63,4080,1-6 months,4-10 years,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,50-69%,f,1,2,t,Zuid,Entire home/apt,6,1.0,3.0,1.0,5,365,5.0,0,0,0,5,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.57,0,8,3060,1-6 months,0-1 year,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,4,5,t,Centrum-West,Private room,2,1.0,1.0,1.0,1,1125,1.6,14,40,60,60,336,62,3,4.59,4.7,4.58,4.79,4.67,4.89,4.48,t,2,0,2,0,4.25,1,21,3145,0-1 month,4-10 years,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,70-89%,f,4,5,t,Centrum-West,Private room,2,1.0,1.0,1.0,1,1125,1.6,10,27,49,49,393,70,1,4.74,4.83,4.72,4.84,4.75,4.87,4.61,t,2,0,2,0,4.96,1,28,3145,0-1 month,4-10 years,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,90-100%,f,9,9,t,Centrum-Oost,Entire home/apt,2,1.0,1.0,1.0,7,1125,7.0,6,27,44,179,2,0,0,4.0,4.0,4.0,3.5,4.5,4.5,4.0,t,9,9,0,0,0.08,0,22,4079,1-2 years,2-4 years,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,9,9,t,Centrum-Oost,Entire home/apt,2,1.0,1.0,1.0,7,1125,7.0,11,35,65,184,3,0,0,4.67,5.0,5.0,5.0,5.0,5.0,4.67,t,9,9,0,0,0.11,0,38,4079,2-4 years,2-4 years,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,9,9,t,Centrum-Oost,Entire home/apt,2,1.0,1.0,1.0,7,1125,7.0,4,28,51,231,14,2,0,4.79,4.71,4.93,4.93,4.86,5.0,4.71,t,9,9,0,0,0.35,0,33,4079,1-6 months,2-4 years,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,9,9,t,Centrum-Oost,Entire home/apt,2,1.0,1.0,1.0,7,1125,7.0,13,43,73,254,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,9,9,0,0,0.1,0,35,4079,1-2 years,2-4 years,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,9,9,t,Centrum-Oost,Entire home/apt,2,1.0,1.0,1.0,7,1125,7.0,7,16,32,206,9,2,0,5.0,5.0,4.89,5.0,5.0,5.0,4.78,t,9,9,0,0,0.24,0,38,4079,1-6 months,2-4 years,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,9,9,t,Centrum-Oost,Entire home/apt,2,1.0,1.0,1.0,7,1125,7.0,13,43,73,286,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,9,9,0,0,0.14,0,36,4079,2-4 years,2-4 years,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,0-49%,f,1,1,t,Oud-Oost,Entire home/apt,4,1.0,2.0,2.0,4,13,4.0,8,29,45,133,27,4,0,4.85,4.74,4.59,5.0,4.96,4.85,4.48,f,1,1,0,0,0.35,0,56,2389,1-6 months,4-10 years,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,13,15,t,Zuid,Entire home/apt,2,1.5,1.0,1.0,5,1125,4.3,8,38,68,243,33,9,0,5.0,4.97,4.58,4.91,5.0,4.97,4.82,f,6,2,4,0,0.42,0,29,4071,1-6 months,4-10 years,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
